T:1.934	nS:9759	nQ:107	nE:78	nI:101	nP:9	nR:53	nF:0	node:[9942]	S -> E
T:1.981	nS:9758	nQ:107	nE:79	nI:101	nP:9	nR:53	nF:0	node:[5670]	E -> I
T:1.994	nS:9758	nQ:107	nE:78	nI:102	nP:9	nR:53	nF:0	node:[2171]	E -> I
T:2.018	nS:9758	nQ:107	nE:77	nI:103	nP:9	nR:53	nF:0	node:[9138]	S -> E
T:2.019	nS:9757	nQ:107	nE:78	nI:103	nP:9	nR:53	nF:0	node:[133]	S -> E
T:2.019	nS:9756	nQ:76	nE:79	nI:103	nP:9	nR:53	nF:0	node:[1634]	I -> P
T:2.035	nS:9756	nQ:96	nE:79	nI:102	nP:10	nR:53	nF:0	node:[4904]	E -> I
T:2.039	nS:9756	nQ:96	nE:78	nI:103	nP:10	nR:53	nF:0	node:[8083]	S -> E
T:2.058	nS:9755	nQ:96	nE:79	nI:103	nP:10	nR:53	nF:0	node:[9833]	S -> E
T:2.058	nS:9754	nQ:96	nE:80	nI:103	nP:10	nR:53	nF:0	node:[5627]	I -> R
T:2.063	nS:9754	nQ:96	nE:80	nI:102	nP:10	nR:54	nF:0	node:[9588]	S -> E
T:2.068	nS:9753	nQ:96	nE:81	nI:102	nP:10	nR:54	nF:0	node:[9833]	E -> I
T:2.112	nS:9753	nQ:96	nE:80	nI:103	nP:10	nR:54	nF:0	node:[7997]	I -> R
T:2.113	nS:9753	nQ:96	nE:80	nI:102	nP:10	nR:55	nF:0	node:[7906]	S -> E
T:2.115	nS:9752	nQ:96	nE:81	nI:102	nP:10	nR:55	nF:0	node:[149]	E -> I
T:2.118	nS:9752	nQ:96	nE:80	nI:103	nP:10	nR:55	nF:0	node:[4895]	E -> I
T:2.119	nS:9752	nQ:96	nE:79	nI:104	nP:10	nR:55	nF:0	node:[6926]	I -> R
T:2.130	nS:9752	nQ:96	nE:79	nI:103	nP:10	nR:56	nF:0	node:[5259]	E -> I
T:2.136	nS:9752	nQ:96	nE:78	nI:104	nP:10	nR:56	nF:0	node:[7482]	S -> E
T:2.144	nS:9751	nQ:96	nE:79	nI:104	nP:10	nR:56	nF:0	node:[2488]	S -> E
T:2.148	nS:9750	nQ:96	nE:80	nI:104	nP:10	nR:56	nF:0	node:[5769]	S -> E
T:2.187	nS:9749	nQ:96	nE:81	nI:104	nP:10	nR:56	nF:0	node:[2371]	S -> E
T:2.214	nS:9748	nQ:96	nE:82	nI:104	nP:10	nR:56	nF:0	node:[6310]	S -> E
T:2.231	nS:9747	nQ:96	nE:83	nI:104	nP:10	nR:56	nF:0	node:[6729]	E -> I
T:2.232	nS:9747	nQ:96	nE:82	nI:105	nP:10	nR:56	nF:0	node:[7147]	E -> I
